experiment,accuracy,macro_f1,weighted_f1,training_time
tfidf_only,0.9687372485012085,0.9603587760450143,0.9690550193550095,4968.277421712875
tfidf_length,0.9446467246304027,0.9343746333950471,0.9461498528725737,4937.676143169403
tfidf_structural,0.9147572114630089,0.8992079248017378,0.9179090054763493,5153.071383714676
tfidf_suspicious,0.9697024388712766,0.9618762030769276,0.9699664675828058,4875.509687900543
tfidf_all,0.9127797482657961,0.897462414907447,0.916098766390305,5190.2560794353485
tfidf_all_minus_redundant,0.9129759251702816,0.8976838217846392,0.9162904547336825,5183.357666492462
